typedag,dienstnummer et,type,duur,start,einde,loop,intern loopnummer,lijn,var,rit,voertuig,vertrek,vertrek plaatscode,aankomst,aankomst plaatscode,afstand,AT,VT,dienstnummer
"21/0",,"ANA","00u10","18u30","18u40",,,,,,,,,,,,"01u56","01u06","7414"
"21/0",,"ATU","00u15","13u55","14u10",,,,,,,,,,,,,,"7414"
"21/0",,"LED","00u05","14u10","14u15","Diesel",,,,,,"Garage Van Hoorebeke",,"zwmal",,,,,"7414"
"21/0",,"RIT","00u15","14u15","14u30",,,,,,,"zwmal",,"schlkleit",,,,,"7414"
"21/0",,"LED","00u15","14u30","14u45",,,,,,,"schlkleit",,"zwmal",,,,,"7414"
"21/0",,"RIT","00u15","14u45","15u00",,,,,,,"zwmal",,"schlkleit",,,,,"7414"
"21/0",,"LED","00u10","15u00","15u10",,,,,,,"schlkleit",,"Garage Van Hoorebeke",,,,,"7414"
"21/0",,"STA","01u18","15u10","16u28",,,,,,,,,,,,,,"7414"
"21/0",,"AVO","00u05","07u17","07u22",,,,,,,,,,,,"01u56","01u06","7114"
"21/0",,"LED","00u02","07u22","07u24","4506","4506U0722",,,,"standaard","Garage Van Hoorebeke",,"Maldegem Markt",,1.885,"01u56","01u06","7114"
"21/0",,"RIT","00u38","07u24","08u02","4506","4506U0722","871","01c","51","standaard","Maldegem Markt",,"Aalter Station",,17.081,"01u56","01u06","7114"
"21/0",,"LED","00u20","08u02","08u22","4506","4506U0722",,,,"standaard","Aalter Station",,"Garage Van Hoorebeke",,14.096,"01u56","01u06","7114"
"21/0",,"ONE","07u28","08u45","16u13",,,,,,,,,,,,"01u56","01u06","7114"
"21/0",,"ATU","00u15","16u13","16u28",,,,,,,,,,,,"01u56","01u06","7114"
"21/0",,"LED","00u02","16u28","16u30","4511","4511U1628",,,,"standaard","Garage Van Hoorebeke",,"Maldegem Markt",,1.885,"01u56","01u06","7114"
"21/0",,"RIT","01u18","16u30","17u48","4511","4511U1628","871","01","91","standaard","Maldegem Markt",,"Deinze Station",,35.519,"01u56","01u06","7114"
"21/0",,"LED","00u42","17u48","18u30","4511","4511U1628",,,,"standaard","Deinze Station",,"Garage Van Hoorebeke",,29.849,"01u56","01u06","7114"
"21/0",,"ANA","00u10","18u30","18u40",,,,,,,,,,,,"01u56","01u06","7114"
"21/0",,"LED","00u08","08u22","08u30","Diesel",,,,,,"Garage Van Hoorebeke",,"schdon",,,,,"7114"
"21/0",,"RIT","00u10","08u30","08u40",,,,,,,"schdon",,"zwmal",,,,,"7114"
"21/0",,"LED","00u05","08u40","08u45",,,,,,,"zwmal",,"Garage Van Hoorebeke",,,,,"7114"
"21/0",,"AVO","00u05","14u50","14u55",,,,,,,,,,,,"05u41","01u07","7216"
"21/0",,"LED","00u03","15u56","15u59","4614","4614U1556",,,,"geleed","Garage Van Hoorebeke",,"Maldegem Station",,1.387,"05u41","01u07","7216"
"21/0",,"RIT","00u35","15u59","16u34","4614","4614U1556","50","03a","741","geleed","Maldegem Station",,"Brugge Station",,17.919,"05u41","01u07","7216"
"21/0","VHO+2117","AVO","00u05","16u19","16u24",,,,,,,,,,,,"06u14","00u16","2117"
"21/0","VHO+2117","LED","00u14","16u24","16u38","4513","4513U1624",,,,"standaard","Garage Van Hoorebeke","VHO276","Eeklo Station","EEKstn",9.673,"06u14","00u16","2117"
"21/0","VHO+2117","RIT","01u00","16u38","17u38","4513","4513U1624","50","03","801","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"06u14","00u16","2117"
"21/0","VHO+2117","STA","00u30","17u38","18u08",,,,,,,,,,,,"06u14","00u16","2117"
"21/0","VHO+2117","RIT","00u58","18u08","19u06","4513","4513U1624","50","02","930","standaard","Brugge Station","BGGstn","Eeklo Station","EEKstn",28.902,"06u14","00u16","2117"
"21/0","VHO+2117","STA","00u02","19u06","19u08",,,,,,,,,,,,"06u14","00u16","2117"
"21/0","VHO+2117","RIT","00u37","19u08","19u45","4513","4513U1624","50","04b","932","standaard","Eeklo Station","EEKstn","Gent Sint-Pietersstation","GNTs2a",22.451,"06u14","00u16","2117"
"21/0","VHO+2117","STA","00u32","19u45","20u17",,,,,,,,,,,,"06u14","00u16","2117"
"21/0","VHO+2117","RIT","00u35","20u17","20u52","4513","4513U1624","50","01a","1021","standaard","Gent Sint Pietersstation","GNTs1a","Eeklo Station","EEKstn",22.447,"06u14","00u16","2117"
"21/0","VHO+2117","STA","00u02","20u52","20u54",,,,,,,,,,,,"06u14","00u16","2117"
"21/0","VHO+2117","RIT","00u46","20u54","21u40","4513","4513U1624","50","03","1023","standaard","Eeklo Station","EEKstn","Brugge Station","BGGstn",28.597,"06u14","00u16","2117"
